
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
0.5~3.3,0.0,1.5,4.4,29.2,19.9,6.0,2.8,1.5,1.0,1.1,1.3,1.0,3.6,4.9,3.2,1.9,0.3,83.5
3.4~7.9,0.0,0.0,0.0,4.7,3.9,0.4,0.7,0.4,0.0,0.4,0.1,0.4,1.3,1.0,0.6,0.3,0.1,14.3
ÇÕ°è,2.2,1.5,4.4,33.9,23.8,6.4,3.5,1.9,1.0,1.5,1.4,1.4,4.9,5.8,3.8,2.2,0.4,100.0

