
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
0.5~3.3,0.0,1.3,4.0,9.8,6.6,2.2,2.3,2.2,2.4,2.0,4.0,6.2,6.9,11.4,5.4,1.3,0.9,69.0
3.4~7.9,0.0,0.0,0.1,1.1,0.4,0.1,0.1,0.5,0.9,0.7,3.9,9.1,4.3,4.2,3.5,0.3,0.0,29.3
8.0~13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.4
ÇÕ°è,1.3,1.3,4.2,10.9,7.0,2.3,2.4,2.7,3.4,2.7,8.1,15.6,11.2,15.6,8.9,1.6,0.9,100.0

