
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
0.5~3.3,0.0,0.7,6.3,10.1,9.9,1.8,0.0,0.3,0.1,0.5,2.2,3.0,4.5,13.6,11.0,3.7,2.5,70.2
3.4~7.9,0.0,0.0,0.0,0.1,2.9,0.1,0.0,0.0,0.0,0.0,0.5,0.7,2.5,8.3,10.1,2.0,0.4,27.7
ÇÕ°è,2.2,0.7,6.3,10.2,12.8,1.9,0.0,0.3,0.1,0.5,2.7,3.7,6.9,21.9,21.1,5.7,2.9,100.0

