
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.5~3.3,0.0,1.1,4.0,12.0,6.9,1.9,2.2,1.3,2.0,2.8,4.7,5.1,11.8,13.8,5.4,2.0,1.7,78.8
3.4~7.9,0.0,0.1,0.3,3.8,1.7,0.0,0.0,0.0,0.1,0.3,1.7,2.4,3.5,3.9,1.1,0.3,0.0,19.2
ÇÕ°è,2.0,1.2,4.3,15.7,8.6,1.9,2.2,1.3,2.2,3.1,6.5,7.5,15.3,17.7,6.5,2.3,1.7,100.0

