
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.5~3.3,0.0,1.9,3.5,4.8,1.6,1.3,0.3,0.3,1.5,2.3,6.9,6.5,11.7,16.9,9.0,1.7,1.5,71.6
3.4~7.9,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.3,1.7,4.3,4.8,7.7,3.9,0.7,0.3,24.2
8.0~13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
ÇÕ°è,4.0,1.9,3.5,5.0,1.6,1.5,0.4,0.3,1.6,2.6,8.6,10.9,16.5,24.6,12.9,2.4,1.7,100.0

