
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.5~3.3,0.0,1.5,3.9,4.2,3.9,1.5,1.3,0.7,1.3,2.4,6.5,6.3,10.2,11.2,6.5,2.0,2.2,65.6
3.4~7.9,0.0,0.3,0.1,1.1,1.5,1.1,0.1,0.4,0.0,0.7,2.8,6.0,4.6,6.7,2.4,0.4,0.8,29.3
ÇÕ°è,5.0,1.8,4.1,5.3,5.5,2.7,1.4,1.1,1.3,3.1,9.3,12.3,14.9,18.0,8.8,2.4,3.1,100.0

