
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1
0.5~3.3,0.0,1.9,7.8,12.5,8.3,1.7,0.8,0.1,0.3,0.6,2.5,2.6,5.3,10.0,10.4,4.4,1.3,70.6
3.4~7.9,0.0,0.0,0.0,0.8,6.3,0.1,0.0,0.0,0.0,0.0,0.7,1.1,1.1,8.2,5.1,0.7,0.0,24.2
8.0~13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
ÇÕ°è,5.1,1.9,7.8,13.3,14.6,1.8,0.8,0.1,0.3,0.6,3.2,3.8,6.4,18.3,15.6,5.1,1.3,100.0

