
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
0.5~3.3,0.0,0.7,3.4,6.2,3.6,1.7,1.1,0.7,0.9,1.9,3.1,4.3,7.5,12.4,8.9,2.7,1.2,60.2
3.4~7.9,0.0,0.4,0.0,1.2,3.0,0.5,0.0,0.0,0.0,0.0,1.1,6.6,6.6,9.1,6.5,1.6,0.3,36.8
8.0~13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4
ÇÕ°è,2.6,1.1,3.4,7.4,6.6,2.3,1.1,0.7,0.9,1.9,4.2,11.3,14.1,21.5,15.3,4.3,1.5,100.0

