
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
0.5~3.3,0.0,1.5,3.1,6.0,4.6,1.9,0.1,0.3,0.4,0.7,2.7,4.7,7.9,16.0,7.1,1.7,2.2,60.9
3.4~7.9,0.0,0.0,0.0,0.5,2.2,0.0,0.0,0.0,0.0,0.0,0.8,3.6,6.6,12.4,8.9,1.2,0.1,36.3
8.0~13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.5
ÇÕ°è,2.3,1.5,3.1,6.6,6.7,1.9,0.1,0.3,0.4,0.7,3.5,8.3,14.7,28.5,16.3,3.0,2.3,100.0

