
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
0.5~3.3,0.0,0.7,3.6,12.2,8.2,3.2,1.1,0.4,0.4,0.8,2.1,3.1,6.3,8.3,4.6,0.8,1.1,56.9
3.4~7.9,0.0,0.0,0.1,2.9,13.6,1.7,0.0,0.6,0.3,0.3,1.1,4.4,5.6,6.3,2.6,1.0,0.0,40.4
8.0~13.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4
ÇÕ°è,2.2,0.7,3.8,15.1,21.9,4.9,1.1,1.0,0.7,1.1,3.2,7.6,11.9,14.6,7.2,1.8,1.1,100.0

