
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
0.5~3.3,0.0,27.4,5.4,1.9,1.9,1.7,0.4,1.1,1.1,1.1,3.8,7.5,3.2,2.5,3.2,9.7,13.6,85.8
3.4~7.9,0.0,5.8,1.0,0.1,0.3,0.1,0.1,0.6,1.0,0.0,0.0,0.6,0.7,0.4,0.4,0.4,1.0,12.5
8.0~13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
ÇÕ°è,1.5,33.3,6.4,2.1,2.2,1.8,0.7,1.7,2.1,1.1,3.8,8.1,3.9,2.9,3.6,10.2,14.6,100.0

