
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
0.5~3.3,0.0,0.4,3.2,8.8,5.0,1.5,1.7,0.6,1.1,0.7,2.4,4.6,7.8,12.0,7.6,2.5,1.3,61.3
3.4~7.9,0.0,0.0,0.3,2.4,6.4,0.3,0.0,0.0,0.0,0.0,0.7,3.5,5.7,11.1,4.1,0.4,0.6,35.4
8.0~13.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
ÇÕ°è,3.1,0.4,3.5,11.3,11.5,1.8,1.7,0.6,1.1,0.7,3.1,8.1,13.6,23.1,11.6,2.9,1.8,100.0

