
Ç³¼Ó,Á¤¿Â,ºÏ,ºÏºÏµ¿,ºÏµ¿,µ¿ºÏµ¿,µ¿,µ¿³²µ¿,³²µ¿,³²³²µ¿,³²,³²³²¼­,³²¼­,¼­³²¼­,¼­,¼­ºÏ¼­,ºÏ¼­,ºÏºÏ¼­,ÇÕ°è
~0.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
0.5~3.3,0.0,0.0,5.9,13.7,5.2,0.6,0.1,0.4,0.3,0.1,1.4,2.5,5.7,11.6,9.5,4.3,3.0,64.3
3.4~7.9,0.0,0.0,0.0,0.7,2.8,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.3,9.0,16.0,3.6,0.4,33.1
8.0~13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.6
ÇÕ°è,2.1,0.0,5.9,14.3,8.0,0.7,0.1,0.4,0.3,0.1,1.5,2.6,5.9,21.0,25.7,7.9,3.4,100.0

